gene_id,dataset_count,contrast_count,hit_count,pass_hits,warn_hits,positive_hits,negative_hits,sign_consistency,dataset_sign_consistency,mean_effect,median_effect,mean_abs_effect,max_abs_effect,conserved_response_score,datasets
GDAP1,5,91,91,83,8,2,89,0.978021978021978,1.0,-0.8603006573102261,-0.6043979801429484,0.8864979473724544,3.2957908856612788,8.513162370521941,adamson;dixit;norman;replogle;sciplex3
ZNF519,5,62,62,58,4,8,54,0.8709677419354839,1.0,-1.2104580435654237,-0.701123064119135,1.355308309611181,3.7085937564430274,10.61997618699343,adamson;dixit;norman;replogle;sciplex3
ALKBH8,5,71,71,68,3,10,61,0.8591549295774648,1.0,-1.0949312321567857,-0.7314911082785234,1.2435603186027078,3.5300576866163422,9.921972144493456,adamson;dixit;norman;replogle;sciplex3
EXOC8,5,72,72,67,5,11,61,0.8472222222222222,1.0,-1.0310092670072457,-0.6410147788277084,1.1925671239980138,2.9655734694591183,9.413221711582633,adamson;dixit;norman;replogle;sciplex3
ELK3,5,94,94,91,3,16,78,0.8297872340425532,1.0,-0.7108570230578545,-0.6486072978773347,0.9468136565798034,3.095288582891951,7.769031172200139,adamson;dixit;norman;replogle;sciplex3
CAB39L,5,168,168,165,3,31,137,0.8154761904761905,1.0,-0.7088773464217608,-0.6711973050033363,0.9565380317044142,3.2424267685157493,8.689136778897284,adamson;dixit;norman;replogle;sciplex3
MXRA7,5,88,88,83,5,22,66,0.75,1.0,-0.8315173027442749,-0.6298429004563526,1.1679869058463714,2.9218857378544216,8.53823250805886,adamson;dixit;norman;replogle;sciplex3
STX18-AS1,5,57,57,52,5,15,42,0.7368421052631579,1.0,-0.5045738929507699,-0.5751377330635392,0.8433571221431057,3.856366681825311,5.479156265423584,adamson;dixit;norman;replogle;sciplex3
S100A4,5,200,200,186,14,64,136,0.68,1.0,-0.49045207508439537,-0.6144482431869669,1.0236756841281598,3.507230412052221,8.016267719188079,adamson;dixit;norman;replogle;sciplex3
ARHGEF6,5,199,199,153,46,115,84,0.5778894472361809,1.0,0.15350223264712778,0.4569366533919381,0.9650339328399936,4.1696807761550225,6.416225704128557,adamson;dixit;norman;replogle;sciplex3
PIK3R2,5,31,31,26,5,2,29,0.9354838709677419,0.8,-1.4779413497509073,-1.9186516045187219,1.5244656087304607,2.6363624766338565,10.732569670963347,adamson;dixit;norman;replogle;sciplex3
RAVER1,5,15,15,12,3,1,14,0.9333333333333333,0.8,-2.401593490697592,-3.0624503387663933,2.488333176684975,4.144316130441782,13.98250794057635,adamson;dixit;norman;replogle;sciplex3
UBL3,5,48,48,44,4,4,44,0.9166666666666666,0.8,-0.7329726788192996,-0.6109994586157121,0.8194204350457496,3.4253204830816664,6.347830533043932,adamson;dixit;norman;replogle;sciplex3
CD226,5,153,153,137,16,13,140,0.9150326797385621,0.8,-1.0942692310930962,-0.8740178284890829,1.2137020481773462,3.313518444368631,12.147051408606012,adamson;dixit;norman;replogle;sciplex3
TUBA1A,5,391,391,379,12,344,47,0.8797953964194374,0.8,0.7718206917482345,0.842200336475107,0.9870866018130351,3.3655805271696697,11.26049217915555,adamson;dixit;norman;replogle;sciplex3
