gene_id,dataset_count,contrast_count,hit_count,pass_hits,warn_hits,positive_hits,negative_hits,sign_consistency,dataset_sign_consistency,mean_effect,median_effect,mean_abs_effect,max_abs_effect,conserved_response_score,datasets
ZBTB6,2,115,115,115,0,17,98,0.8521739130434782,1.0,-1.185392361575871,-0.935763903578857,1.4310497397239528,2.5374738739978797,5.035226481375882,replogle;sciplex3
ZRANB3,2,27,27,26,1,4,23,0.8518518518518519,1.0,-0.504872376647365,-0.5198859763017394,0.685445085610896,1.2825917133543627,1.6899843922796187,norman;replogle
GPAM,2,94,94,94,0,14,80,0.851063829787234,1.0,-0.977243502445572,-0.6564692188939377,1.1410639665858857,2.975702107210873,3.841207049976904,replogle;sciplex3
DNAJC17,2,47,47,47,0,7,40,0.851063829787234,1.0,-1.0471606070097614,-0.623722012531591,1.250139340666381,3.936269275233369,3.57750776509591,replogle;sciplex3
BORCS5,2,47,47,47,0,7,40,0.851063829787234,1.0,-0.6654061822958223,-0.6143920874049915,0.825561676208955,4.598435595989946,2.3624992919819703,replogle;sciplex3
SLC10A7,2,87,87,87,0,13,74,0.8505747126436781,1.0,-0.5683035952269184,-0.648357284996038,0.7247135944136767,3.594523974604029,2.3972479073349517,replogle;sciplex3
SMARCA1,2,60,60,60,0,9,51,0.85,1.0,-1.1832179502435594,-1.289659290746957,1.610973827347368,3.487053197374784,4.8894033835540585,replogle;sciplex3
MARCH8,2,40,40,40,0,6,34,0.85,1.0,-0.5477892534833496,-0.5784612613423165,0.707525735631641,3.233718570273575,1.939846343888792,replogle;sciplex3
MTMR9,2,20,20,20,0,3,17,0.85,1.0,-0.6205377428713502,-0.581361339945099,0.7822336768755525,3.6667314373227176,1.7582835829443728,replogle;sciplex3
MOB2,2,53,53,53,0,8,45,0.8490566037735849,1.0,-1.4358174148978524,-1.0958009814330285,1.6079876780233033,3.480169275264913,4.730379315758143,replogle;sciplex3
AC002558.3,2,66,66,66,0,10,56,0.8484848484848485,1.0,-0.936846930394554,-0.6881140688434146,1.108455742706926,2.599872791287221,3.434875566463766,replogle;sciplex3
DNAJC3-AS1,2,33,33,21,12,28,5,0.8484848484848485,1.0,1.2010593678497097,1.1668225575974538,1.9274911948234081,3.031026333241494,5.009305428750654,adamson;sciplex3
ZNF595,2,33,33,33,0,28,5,0.8484848484848485,1.0,0.9903645771617872,1.3756454763890247,1.656135169050891,3.2296326400670115,4.304085494840134,replogle;sciplex3
FZR1,2,33,33,33,0,5,28,0.8484848484848485,1.0,-1.3019019161600525,-0.8083890972984313,1.4507990453617656,3.126104129882495,3.7704429226317626,replogle;sciplex3
OTUD3,2,59,59,59,0,9,50,0.847457627118644,1.0,-1.3028719903158106,-0.8651214039161039,1.5190589448941023,3.3072060787135396,4.578163664864248,replogle;sciplex3
AL445524.1,2,52,52,52,0,8,44,0.8461538461538461,1.0,-1.2714058446069685,-1.3339965290716331,1.7365828319902852,2.8197809951880477,5.067357938523438,replogle;sciplex3
RFX7,2,52,52,51,1,8,44,0.8461538461538461,1.0,-0.49171994693708265,-0.6274957933298313,0.6517630123836027,1.1327091764510397,1.9018479360715428,norman;replogle
HCLS1,2,39,39,13,26,33,6,0.8461538461538461,1.0,1.2047638875942257,1.598717767238416,1.9031853196066375,3.144831772501416,5.159875018903025,norman;sciplex3
ARHGAP19,2,39,39,39,0,6,33,0.8461538461538461,1.0,-1.1606604505878022,-1.0918299268383584,1.7231028905978474,2.963770450424629,4.67163941871571,replogle;sciplex3
MCEE,2,39,39,39,0,6,33,0.8461538461538461,1.0,-0.5834546736091545,-0.5716969455471248,0.7575976160116238,3.076674845943666,2.0539823279252825,replogle;sciplex3
MOV10,2,26,26,26,0,4,22,0.8461538461538461,1.0,-1.4562894700093023,-0.7556886177813897,1.6028301232935076,4.025437198725461,3.882548083758907,replogle;sciplex3
CCL3L3,2,26,26,3,23,22,4,0.8461538461538461,1.0,1.304377480289195,1.4313739505567675,1.553934288386903,3.1140316937986054,3.7641073161681753,norman;sciplex3
KCTD10,2,26,26,26,0,4,22,0.8461538461538461,1.0,-0.8618239125624354,-0.6274153522745858,1.0288495435300897,3.163322125577357,2.492190386028513,replogle;sciplex3
ST3GAL3,2,26,26,25,1,4,22,0.8461538461538461,1.0,-0.6107270428860753,-0.7175055727589223,0.7845937339781871,1.6740841149116337,1.9005276068351236,adamson;replogle
ALG10,2,13,13,9,4,2,11,0.8461538461538461,1.0,-1.1035055526542146,-2.0548883430695057,1.9340403008728122,2.9655468042160633,3.7512670647047615,norman;sciplex3
ZNF165,2,13,13,11,2,2,11,0.8461538461538461,1.0,-0.6159067998968027,-1.2403008498111083,1.455346847522359,2.967270442874597,2.8227926245222297,norman;sciplex3
KIF3A,2,13,13,13,0,2,11,0.8461538461538461,1.0,-1.2322791742156056,-0.80420392627838,1.411791761967385,3.229492014108238,2.7383131243437497,replogle;sciplex3
DSCR8,2,13,13,13,0,2,11,0.8461538461538461,1.0,-0.9728748576583492,-1.2539741088089802,1.3427864913352086,3.71079382861026,2.6044704123295777,replogle;sciplex3
CENPP,2,13,13,13,0,2,11,0.8461538461538461,1.0,-0.7704357035087241,-0.6517457026243889,0.9086125814453134,2.1360036172131007,1.762346136124454,replogle;sciplex3
ARID5A,2,71,71,71,0,11,60,0.8450704225352113,1.0,-0.6849606743425508,-0.6972930315940842,0.9659711836373123,2.5508619983059235,3.0323318365956444,replogle;sciplex3
GRK3,2,45,45,45,0,7,38,0.8444444444444444,1.0,-0.6598789022138096,-0.6200397134880498,0.8234609462774717,3.790187524102269,2.312453921122572,replogle;sciplex3
GPRC5D-AS1,2,45,45,45,0,7,38,0.8444444444444444,1.0,-0.6332227142910778,-0.6410874929085424,0.8203803121481072,4.1085457850989044,2.303802843613436,replogle;sciplex3
CHMP6,2,64,64,64,0,10,54,0.84375,1.0,-1.0306370241649288,-0.7404579394266834,1.2190131479770756,3.3757801305217323,3.729316305190884,replogle;sciplex3
PEX7,2,64,64,64,0,10,54,0.84375,1.0,-0.816293657633667,-0.7472531849689683,0.9778577825047722,3.4664431257907604,2.991551796225111,replogle;sciplex3
AC009403.1,2,32,32,32,0,5,27,0.84375,1.0,-1.2318553046648852,-1.3833863927219838,1.5393664028938638,2.9538063325561192,3.944614513568647,replogle;sciplex3
